(METAR weather station sites operated by the U.S. Department of Defense)
KAAA – Logan County Airport – Lincoln, Illinois
KDDH – William H. Morse State Airport – Bennington, Vermont
KDEC – Decatur Airport – Decatur, Illinois
KDED – DeLand Municipal Airport (Sidney H. Taylor Field) – DeLand, Florida
KDEH – Decorah Municipal Airport – Decorah, Iowa
KDEN – Denver International Airport (replaced Stapleton Int'l) – Denver, Colorado
KDEQ – J. Lynn Helms Sevier County Airport – De Queen, Arkansas
KDET – Coleman A. Young Municipal Airport – Detroit, Michigan
KDEW – Deer Park Airport – Deer Park, Washington
KDFI – Defiance Memorial Airport – Defiance, Ohio
KDFW – Dallas-Fort Worth International Airport – Dallas & Fort Worth, Texas
KDGL – Douglas Municipal Airport – Douglas, Arizona
KDGW – Converse County Airport – Douglas, Wyoming
KDHN – Dothan Regional Airport – Dothan, Alabama
KDHT – Dalhart Municipal Airport – Dalhart, Texas
KDIJ – Driggs-Reed Memorial Airport – Driggs, Idaho
KDIK – Dickinson – Theodore Roosevelt Regional Airport – Dickinson, North Dakota
KDKB – DeKalb Taylor Municipal Airport – DeKalb, Illinois
KDKK – Chautauqua County/Dunkirk Airport – Dunkirk, New York
KDKR – Houston County Airport – Crockett, Texas
KDKX – Knoxville Downtown Island Airport – Knoxville, Tennessee
KDLC – Dillon County Airport – Dillon, South Carolina
KDLF – Laughlin Air Force Base – Del Rio, Texas
KDLH – Duluth International Airport – Duluth, Minnesota
KDLL – Baraboo-Wisconsin Dells Airport – Baraboo, Wisconsin
KDLN – Dillon Airport – Dillon, Montana
KDLO – Delano Municipal Airport – Delano, California
KDLS – Columbia Gorge Regional Airport (The Dalles Municipal Airport) – The Dalles, Oregon
KDLZ – Delaware Municipal Airport – Delaware, Ohio; Dale Mabry Field (1928-1961) – Tallahassee, Florida
KDMA – Davis-Monthan Air Force Base – Tucson, Arizona
KDMN – Deming Municipal Airport – Deming, New Mexico
KDMO – Sedalia Memorial Airport – Sedalia, Missouri
KDMW – Carroll County Regional Airport (Jack B. Poage Field) – Westminster, Maryland
KDNL – Daniel Field – Augusta, Georgia
KDNN – Dalton Municipal Airport – Dalton, Georgia
KDNS – Denison Municipal Airport – Denison, Iowa
KDNV – Vermilion County Airport – Danville, Illinois
KDOV – Dover Air Force Base – Dover, Delaware
KDPA – Dupage Airport – West Chicago, Illinois
KDPG – Michael Army Airfield – Dugway Proving Ground, Utah
KDPL – Duplin County Airport – Kenansville, North Carolina
KDQH – Douglas Municipal Airport – Douglas, Georgia
KDRA – Desert Rock Airport – Mercury, Nevada
KDRI – Beauregard Regional Airport – De Ridder, Louisiana
KDRO – Durango-La Plata County Airport – Durango, Colorado
KDRT – Del Rio International Airport – Del Rio, Texas
KDRU – Drummond Airport – Drummond, Montana
KDSM – Des Moines International Airport – Des Moines, Iowa
KDSV – Dansville Municipal Airport – Dansville, New York
KDTA – Delta Municipal Airport – Delta, Utah
KDTG – Dwight Airport – Dwight, Illinois
KDTL – Detroit Lakes Airport (Wething Field) – Detroit Lakes, Minnesota
KDTN – Shreveport Downtown Airport – Shreveport, Louisiana
KDTO – Denton Municipal Airport – Denton, Texas
KDTS – Destin-Fort Walton Beach Airport – Destin, Florida
KDTW – Detroit Metropolitan Wayne County Airport – Romulus, Michigan (near Detroit)
KDUA – Eaker Field – Durant, Oklahoma
KDUC – Halliburton Field – Duncan, Oklahoma
KDUG – Bisbee-Douglas International Airport – Bisbee / Douglas, Arizona
KDUH – Toledo Suburban Airport – Lambertville, Michigan
KDUJ – DuBois Regional Airport (formerly DuBois-Jefferson County Airport) – DuBois, Pennsylvania
KDUX – Moore County Airport – Dumas, Texas
KDVK – Stuart Powell Field – Danville, Kentucky
KDVL – Devils Lake Regional Airport (Devils Lake Municipal Airport) – Devils Lake, North Dakota
KDVN – Davenport Municipal Airport – Davenport, Iowa
KDVO – Gnoss Field – Novato, California
KDVP – Slayton Municipal Airport – Slayton, Minnesota
KDVT – Phoenix Deer Valley Airport – Phoenix, Arizona
KDWH – David Wayne Hooks Memorial Airport – Spring, Texas
KDWU – Ashland-Boyd County Airport – Ashland, Kentucky
KDXE – Dexter Municipal Airport – Dexter, Missouri
KDXR – Danbury Municipal Airport – Danbury, Connecticut
KDXX – Lac qui Parle County Airport – Madison, Minnesota
KDXZ – St. George Regional Airport – St. George, Utah
KDYA – Demopolis Municipal Airport – Demopolis, Alabama
KDYB – Summerville Airport – Summerville, South Carolina
KDYL – Doylestown Airport – Doylestown, Pennsylvania
KDYR – Dyersburg Regional Airport – Dyersburg, Tennessee
KDYS – Dyess Air Force Base – Abilene, Texas
KDYT – Sky Harbor Airport – Duluth, Minnesota
KDZJ – Blairsville Airport – Blairsville, Georgia
KEAG – Eagle Grove Municipal Airport – Eagle Grove, Iowa
KEAN – Phifer Airfield – Wheatland, Wyoming
KEAR – Kearney Regional Airport – Kearney, Nebraska
KEAT – Pangborn Memorial Airport – Wenatchee, Washington
KEAU – Chippewa Valley Regional Airport – Eau Claire, Wisconsin
KEBG – South Texas International Airport at Edinburg – Edinburg, Texas
KEBS – Webster City Municipal Airport – Webster City, Iowa
KECG – Elizabeth City-Pasquotank County Regional Airport / Elizabeth City CGAS – Elizabeth City, North Carolina
KECS – Mondell Field – Newcastle, Wyoming
KECU – Edwards County Airport – Rocksprings, Texas
KEDC – Austin Executive Airport – Austin, Texas
KEDE – Northeastern Regional Airport – Edenton, North Carolina
KEDG – Weide Army Airfield – Edgewood Arsenal, Aberdeen Proving Ground, Maryland
KEDJ – Bellefontaine Regional Airport – Bellefontaine, Ohio
KEDN – Enterprise Municipal Airport – Enterprise, Alabama
KEDU – University Airport – Davis, California
KEDW – Edwards Air Force Base – Rosamond, California
KEED – Needles Airport – Needles, California
KEEN – Dillant-Hopkins Airport – Keene, New Hampshire
KEEO – Meeker Airport – Meeker, Colorado
KEET – Shelby County Airport – Alabaster, Alabama
KEFC – Belle Fourche Municipal Airport – Belle Fourche, South Dakota
KEFD – Ellington Field – Houston, Texas
KEFK – Newport State Airport – Newport, Vermont
KEFT – Monroe Municipal Airport – Monroe, Wisconsin
KEFW – Jefferson Municipal Airport – Jefferson, Iowa
KEGE – Eagle County Regional Airport – Eagle, Colorado (near Vail)
KEGI – Duke Field (Eglin Auxiliary Field 3) – Crestview, Florida
KEGQ – Emmetsburg Municipal Airport – Emmetsburg, Iowa
KEGT – Wellington Municipal Airport – Wellington, Kansas
KEGV – Eagle River Union Airport – Eagle River, Wisconsin
KEHA – Elkhart-Morton County Airport – Elkhart, Kansas
KEHO – Shelby Municipal Airport – Shelby, North Carolina
KEHR – Henderson City-County Airport – Henderson, Kentucky
KEIK – Erie Municipal Airport – Erie, Colorado
KEIW – County Memorial Airport – New Madrid, Missouri
KEKA – Murray Field – Eureka, California
KEKM – Elkhart Municipal Airport – Elkhart, Indiana
KEKN – Elkins-Randolph County Airport (Jennings Randolph Field) – Elkins, West Virginia
KEKO – Elko Regional Airport – Elko, Nevada
KEKQ – Wayne County Airport – Monticello, Kentucky
KEKX – Addington Field – Elizabethtown, Kentucky
KEKY – Bessemer Airport – Bessemer, Alabama
KELA – Eagle Lake Airport – Eagle Lake, Texas
KELD – South Arkansas Regional Airport at Goodwin Field – El Dorado, Arkansas
KELK – Elk City Municipal Airport – Elk City, Oklahoma
KELM – Elmira/Corning Regional Airport – Big Flats, New York (near Elmira & Corning)
KELN – Bowers Field – Ellensburg, Washington
KELO – Ely Municipal Airport – Ely, Minnesota
KELP – El Paso International Airport – El Paso, Texas
KELY – Ely Airport (Yelland Field) – Ely, Nevada
KELZ – Wellsville Municipal Airport – Wellsville, New York
KEMM – Kemmerer Municipal Airport – Kemmerer, Wyoming
KEMP – Emporia Municipal Airport – Emporia, Kansas
KEMT – El Monte Airport – El Monte, California
KEMV – Emporia-Greensville Regional Airport – Emporia, Virginia
KEND – Vance Air Force Base – Enid, Oklahoma
KENL – Centralia Municipal Airport – Centralia, Illinois
KENV – Wendover Airport – Wendover, Utah
KENW – Kenosha Regional Airport – Kenosha, Wisconsin
KEOE – Newberry County Airport – Newberry, South Carolina
KEOK – Keokuk Municipal Airport – Keokuk, Iowa
KEOP – Pike County Airport – Waverly, Ohio
KEOS – Neosho Hugh Robinson Airport – Neosho, Missouri
KEPG – Browns Airport – Weeping Water, Nebraska
KEPH – Ephrata Municipal Airport – Ephrata, Washington
KEPM – Eastport Municipal Airport – Eastport, Maine
KEQA – Captain Jack Thomas/El Dorado Airport – El Dorado, Kansas
KEQY – Monroe Regional Airport – Monroe, North Carolina
KERI – Erie International Airport (Tom Ridge Field) – Erie, Pennsylvania
KERR – Errol Airport – Errol, New Hampshire
KERV – Kerrville Municipal Airport (Louis Schreiner Field) – Kerrville, Texas
KERY – Luce County Airport – Newberry, Michigan
KESC – Delta County Airport – Escanaba, Michigan
KESF – Esler Regional Airport – Alexandria, Louisiana
KESN – Easton/Newnam Field – Easton, Maryland
KEST – Estherville Municipal Airport – Estherville, Iowa
KESW – Easton State Airport – Easton, Washington
KETB – West Bend Municipal Airport – West Bend, Wisconsin
KETC – Tarboro-Edgecombe Airport – Tarboro, North Carolina
KETN – Eastland Municipal Airport – Eastland, Texas
KEUF – Weedon Field – Eufaula, Alabama
KEUG – Eugene Airport / Mahlon Sweet Field – Eugene, Oregon
KEUL – Caldwell Industrial Airport – Caldwell, Idaho
KEVB – New Smyrna Beach Municipal Airport – New Smyrna Beach, Florida
KEVM – Eveleth-Virginia Municipal Airport – Eveleth, Minnesota
KEVU – Northwest Missouri Regional Airport – Maryville, Missouri
KEVV – Evansville Regional Airport – Evansville, Indiana
KEVW – Evanston-Uinta County Airport (Burns Field) – Evanston, Wyoming
KEVY – Summit Airport – Middletown, Delaware
KEWB – New Bedford Regional Airport – New Bedford, Massachusetts
KEWK – Newton City/County Airport – Newton, Kansas
KEWN – Craven County Regional Airport – New Bern, North Carolina
KEWR – Newark Liberty International Airport – Newark & Elizabeth, New Jersey
KEXX – Davidson County Airport – Lexington, North Carolina
KEYE – Eagle Creek Airpark – Indianapolis, Indiana
KEYF – Curtis L. Brown Jr. Field – Elizabethtown, North Carolina
KEYQ – Weiser Air Park – Houston, Texas
KEYW – Key West International Airport – Key West, Florida
KEZF – Shannon Airport – Fredericksburg, Virginia
KEZI – Kewanee Municipal Airport – Kewanee, Illinois
KEZM – Heart of Georgia Regional Airport – Eastman, Georgia
KEZS – Shawano Municipal Airport – Shawano, Wisconsin
KEZZ – Cameron Memorial Airport – Cameron, Missouri
KFAF – Felker Army Airfield – Fort Eustis, Virginia
KFAM – Farmington Regional Airport – Farmington, Missouri
KFAR – Hector International Airport – Fargo, North Dakota
KFAT – Fresno Yosemite International Airport – Fresno, California
KFAY – Fayetteville Regional Airport (Grannis Field) – Fayetteville, North Carolina
KFBG – Simmons Army Airfield – Fort Bragg, North Carolina
KFBL – Faribault Municipal Airport – Faribault, Minnesota
KFBR – Fort Bridger Airport – Fort Bridger, Wyoming
KFBY – Fairbury Municipal Airport – Fairbury, Nebraska
KFCA – Glacier Park International Airport – Kalispell, Montana
KFCH – Fresno Chandler Executive Airport – Fresno, California
KFCI – Chesterfield County Airport – Richmond, Virginia
KFCM – Flying Cloud Airport – Minneapolis, Minnesota
KFCS – Butts Army Airfield (Fort Carson) – Fort Carson, Colorado
KFCT – Vagabond Army Airfield – Yakima, Washington
KFCY – Forrest City Municipal Airport – Forrest City, Arkansas
KFDK – Frederick Municipal Airport – Frederick, Maryland
KFDR – Frederick Municipal Airport – Frederick, Oklahoma
KFDW – Fairfield County Airport – Winnsboro, South Carolina
KFDY – Findlay Airport – Findlay, Ohio
KFEP – Albertus Airport – Freeport, Illinois
KFES – Festus Memorial Airport – Festus, Missouri
KFET – Fremont Municipal Airport – Fremont, Nebraska
KFFA – First Flight Airport – Kill Devil Hills, North Carolina
KFFC – Falcon Field – Peachtree City, Georgia
KFFL – Fairfield Municipal Airport – Fairfield, Iowa
KFFM – Fergus Falls Municipal Airport (Einar Mickelson Field) – Fergus Falls, Minnesota
KFFO – Wright-Patterson Air Force Base – Dayton, Ohio
KFFT – Capital City Airport – Frankfort, Kentucky
KFFZ – Falcon Field – Mesa, Arizona
KFGX – Fleming-Mason Airport – Flemingsburg, Kentucky
KFHB – Fernandina Beach Municipal Airport – Fernandina Beach, Florida
KFHR – Friday Harbor Airport – Friday Harbor, Washington
KFHU – Sierra Vista Municipal Airport / Libby Army Airfield – Fort Huachuca / Sierra Vista, Arizona
KFIG – Clearfield-Lawrence Airport – Clearfield, Pennsylvania
KFIT – Fitchburg Municipal Airport – Fitchburg, Massachusetts
KFKA – Fillmore County Airport – Preston, Minnesota
KFKL – Venango Regional Airport – Franklin, Pennsylvania
KFKN – Franklin Municipal Airport (John Beverly Rose Field) – Franklin, Virginia
KFKR – Frankfort Municipal Airport – Frankfort, Indiana
KFKS – Frankfort Dow Memorial Field – Frankfort, Michigan
KFLD – Fond du Lac County Airport – Fond du Lac, Wisconsin
KFLG – Flagstaff Pulliam Airport – Flagstaff, Arizona
KFLL – Fort Lauderdale-Hollywood International Airport – Fort Lauderdale / Hollywood, Florida
KFLO – Florence Regional Airport – Florence, South Carolina
KFLP – Marion County Regional Airport – Flippin, Arkansas
KFLV – Sherman Army Airfield – Fort Leavenworth, Kansas
KFLX – Fallon Municipal Airport – Fallon, Nevada
KFLY – Meadow Lake Airport – Colorado Springs, Colorado
KFME – Tipton Airport – Fort Meade / Odenton, Maryland
KFMH – Otis Air National Guard Base – Falmouth, Massachusetts
KFMM – Fort Morgan Municipal Airport – Fort Morgan, Colorado
KFMN – Four Corners Regional Airport – Farmington, New Mexico
KFMY – Page Field – Fort Myers, Florida
KFMZ – Fairmont State Airfield – Fairmont, Nebraska
KFNB – Brenner Field – Falls City, Nebraska
KFNL – Fort Collins-Loveland Municipal Airport – Fort Collins / Loveland, Colorado
KFNT – Bishop International Airport – Flint, Michigan
KFOA – Flora Municipal Airport – Flora, Illinois
KFOD – Fort Dodge Regional Airport – Fort Dodge, Iowa
KFOE – Forbes Field – Topeka, Kansas
KFOK – Francis S. Gabreski Airport – Westhampton Beach, New York
KFOM – Fillmore Municipal Airport – Fillmore, Utah
KFOT – Rohnerville Airport – Fortuna, California
KFOZ – Bigfork Municipal Airport – Bigfork, Minnesota
KFPK – Fitch H. Beach Airport – Charlotte, Michigan
KFPR – St. Lucie County International Airport – Fort Pierce, Florida
KFQD – Rutherford County Airport (Marchman Field) – Rutherfordton, North Carolina
KFRG – Republic Airport – East Farmingdale, New York
KFRH – French Lick Municipal Airport – French Lick, Indiana
KFRI – Marshall Army Airfield – Fort Riley / Junction City, Kansas
KFRM – Fairmont Municipal Airport – Fairmont, Minnesota
KFRR – Front Royal-Warren County Airport – Front Royal, Virginia
KFSD – Sioux Falls Regional Airport (Joe Foss Field) – Sioux Falls, South Dakota
KFSE – Fosston Municipal Airport – Fosston, Minnesota
KFSI – Henry Post Army Airfield – Fort Sill / Lawton, Oklahoma
KFSK – Fort Scott Municipal Airport – Fort Scott, Kansas
KFSM – Fort Smith Regional Airport – Fort Smith, Arkansas
KFSO – Franklin County State Airport – Highgate, Vermont
KFST – Fort Stockton-Pecos County Airport – Fort Stockton, Texas
KFSU – Fort Sumner Municipal Airport – Fort Sumner, New Mexico
KFSW – Fort Madison Municipal Airport – Fort Madison, Iowa
KFTG – Front Range Airport – Aurora, Colorado
KFTK – Godman Army Airfield – Fort Knox, Kentucky
KFTT – Elton Hensley Memorial Airport – Fulton, Missouri
KFTW – Fort Worth Meacham International Airport – Fort Worth, Texas
KFTY – Fulton County Airport (Brown Field) – Atlanta, Georgia
KFUL – Fullerton Municipal Airport – Fullerton, California
KFVE – Northern Aroostook Regional Airport – Frenchville, Maine
KFVX – Farmville Regional Airport – Farmville, Virginia
KFWA – Fort Wayne International Airport – Fort Wayne, Indiana
KFWC – Fairfield Municipal Airport – Fairfield, Illinois
KFWN – Sussex Airport – Sussex, New Jersey
KFWQ – Rostraver Airport – Monongahela, Pennsylvania (suburb of Pittsburgh)
KFWS – Fort Worth Spinks Airport – Fort Worth, Texas
KFXE – Fort Lauderdale Executive Airport – Fort Lauderdale, Florida
KFXY – Forest City Municipal Airport – Forest City, Iowa
KFYE – Fayette County Airport – Somerville, Tennessee
KFYJ – Middle Peninsula Regional Airport – West Point, Virginia
KFYM – Fayetteville Municipal Airport – Fayetteville, Tennessee
KFYV – Drake Field / Fayetteville Municipal Airport – Fayetteville, Arkansas
KFZG – Fitzgerald Municipal Airport – Fitzgerald, Georgia
KFZI – Fostoria Metropolitan Airport – Fostoria, Ohio
KFZY – Oswego County Airport – Fulton, New York
KGAB – Gabbs Airport – Gabbs, Nevada
KGAD – Northeast Alabama Regional Airport – Gadsden, Alabama
KGAF – Grafton Municipal Airport – Grafton, North Dakota
KGAG – Gage Airport – Gage, Oklahoma
KGAI – Montgomery County Airpark – Gaithersburg, Maryland
KGBD – Great Bend Municipal Airport – Great Bend, Kansas
KGBN – Gila Bend Air Force Auxiliary Field – Gila Bend, Arizona
KGBR – Walter J. Koladza Airport – Great Barrington, Massachusetts
KGCC – Gillette-Campbell County Airport – Gillette, Wyoming
KGCD – Seneca Emergency Airstrip – Seneca, Oregon
KGCK – Garden City Regional Airport – Garden City, Kansas
KGCM – Claremore Regional Airport – Claremore, Oklahoma
KGCN – Grand Canyon National Park Airport – Grand Canyon National Park, Arizona
KGDJ – Granbury Municipal Airport – Granbury, Texas
KGDM – Gardner Municipal Airport – Gardner, Massachusetts
KGDP – Dell City Municipal Airport – Dell City, Texas
KGDV – Dawson Community Airport – Glendive, Montana
KGDY – Grundy Municipal Airport – Grundy, Virginia
KGED – Delaware Coastal Airport – Georgetown, Delaware
KGEG – Spokane International Airport – Spokane, Washington
KGEU – Glendale Municipal Airport – Glendale, Arizona
KGEV – Ashe County Airport – Jefferson, North Carolina
KGEY – South Big Horn County Airport – Greybull, Wyoming
KGFA – Great Falls Air Force Base – Great Falls, Montana
KGFK – Grand Forks International Airport – Grand Forks, North Dakota
KGFL – Bennett Memorial Airport – Glens Falls, New York
KGGE – Georgetown County Airport – Georgetown, South Carolina
KGGF – Grant Municipal Airport – Grant, Nebraska
KGGG – East Texas Regional Airport – Longview, Texas
KGGI – Grinnell Regional Airport – Grinnell, Iowa
KGGW – Glasgow Airport – Glasgow, Montana
KGHG – Marshfield Municipal Airport – Marshfield, Massachusetts
KGHM – Centerville Municipal Airport – Centerville, Tennessee
KGIC – Idaho County Airport – Grangeville, Idaho
KGIF – Winter Haven's Gilbert Airport – Winter Haven, Florida
KGJT – Grand Junction Regional Airport (Walker Field) – Grand Junction, Colorado
KGKJ – Port Meadville Airport – Meadville, Pennsylvania
KGKT – Gatlinburg-Pigeon Forge Airport – Sevier County, Tennessee
KGKY – Arlington Municipal Airport – Arlington, Texas
KGLD – Renner Goodland Municipal Airport – Goodland, Kansas
KGLH – Mid Delta Regional Airport – Greenville, Mississippi
KGLS – Scholes International Airport at Galveston – Galveston, Texas
KGLW – Glasgow Municipal Airport – Glasgow, Kentucky
KGMJ – Grove Municipal Airport – Grove, Oklahoma
KGMU – Greenville Downtown Airport – Greenville, South Carolina
KGNB – Granby-Grand County Airport – Granby, Colorado
KGNC – Gaines County Airport – Seminole, Texas
KGNF – Grenada Municipal Airport – Grenada, Mississippi
KGNG – Gooding Municipal Airport – Gooding, Idaho
KGNI – Grand Isle Seaplane Base – Grand Isle, Louisiana
KGNT – Grants-Milan Municipal Airport – Grants, New Mexico
KGNV – Gainesville Regional Airport – Gainesville, Florida
KGOK – Guthrie-Edmond Regional Airport – Guthrie, Oklahoma
KGON – Groton-New London Airport – Groton / New London, Connecticut
KGOO – Nevada County Air Park – Grass Valley, California
KGOV – Grayling Army Airfield – Grayling, Michigan
KGPI – Kalispell City Airport – Kalispell, Montana
KGPT – Gulfport-Biloxi International Airport – Gulfport, Mississippi
KGRB – Austin Straubel International Airport – Green Bay, Wisconsin
KGRD – Greenwood County Airport – Greenwood, South Carolina
KGRF – Gray Army Airfield – Fort Lewis, Washington
KGRI – Central Nebraska Regional Airport – Grand Island, Nebraska
KGRK – Killeen-Fort Hood Regional Airport / Gray Army Airfield – Fort Hood, Killeen, Texas
KGRN – Gordon Municipal Airport – Gordon, Nebraska
KGRR – Gerald R. Ford International Airport – Grand Rapids, Michigan
KGSB – Seymour Johnson AFB – Goldsboro, North Carolina
KGSO – Piedmont Triad International Airport – Greensboro, North Carolina
KGSP – Greenville-Spartanburg International Airport – Greer, South Carolina
KGTB – Wheeler-Sack AAF – Fort Drum, New York
KGTE – Quinn Airport – Gothenburg, Nebraska
KGTF – Great Falls International Airport – Great Falls, Montana
KGTG – Grantsburg Municipal Airport – Grantsburg, Wisconsin
KGTR – Golden Triangle Regional Airport – Columbus, Mississippi
KGTU – Georgetown Municipal Airport – Georgetown, Texas
KGUC – Gunnison County Airport – Gunnison, Colorado
KGUP – Gallup Municipal Airport – Gallup, New Mexico
KGUS – Grissom Air Reserve Base – Peru, Indiana
KGUY – Guymon Municipal Airport – Guymon, Oklahoma
KGVE – Gordonsville Municipal Airport – Gordonsville, Virginia
KGVQ – Genesee County Airport – Batavia, New York
KGVT – Majors Airport – Greenville, Texas
KGWB – DeKalb County Airport – Auburn, Indiana
KGWO – Greenwood-Leflore Airport – Greenwood, Mississippi
KGWR – Gwinner-Roger Melroe Field – Gwinner, North Dakota
KGWS – Glenwood Springs Municipal Airport – Glenwood Springs, Colorado
KGWW – Goldsboro-Wayne Municipal Airport – Goldsboro, North Carolina
KGXA – Gray Butte Field – Lake Los Angeles, California
KGXY – Greeley-Weld County Airport – Greeley, Colorado
KGYB – Giddings-Lee County Airport – Giddings, Texas
KGYH – Donaldson Center Airport – Greenville, South Carolina
KGYI – Grayson County Airport – Denison, Texas
KGYR – Goodyear Municipal Airport – Phoenix, Arizona
KGYY – Gary/Chicago International Airport – Gary, Indiana
KGZH – Middleton Field – Evergreen, Alabama
KGZL – Stigler Regional Airport – Stigler, Oklahoma
KHAB – Marion County – Rankin Fite Airport – Hamilton, Alabama
KHAE – Hannibal Regional Airport – Hannibal, Missouri
KHAF – Half Moon Bay Airport – Half Moon Bay, California
KHAI – Three Rivers Municipal/Doctor Haines Airport – Three Rivers, Michigan
KHAO – Butler County Regional Airport – Hamilton, Ohio
KHAR – Harford Airport – Casper, Wyoming
KHBC – Mohall Municipal Airport – Mohall, North Dakota
KHBG – Chain Municipal Airport – Hattiesburg, Mississippi
KHBI – Asheboro Regional Airport – Asheboro, North Carolina
KHBR – Hobart Municipal Airport – Hobart, Oklahoma
KHBZ – Heber Springs Municipal Airport – Heber Springs, Arkansas
KHCD – Hutchinson Municipal Airport – Hutchinson, Minnesota
KHDE – Brewster Airport – Holdrege, Nebraska
KHDN – Yampa Valley Airport – Hayden, Colorado
KHDO – Hondo Municipal Airport – Hondo, Texas
KHEE – Thompson-Robbins Airport – Helena, Arkansas
KHEF – Manassas Regional Airport – Manassas, Virginia
KHEG – Herlong Airport – Jacksonville, Florida
KHEI – Hettinger Municipal Airport – Hettinger, North Dakota
KHEQ – Holyoke Municipal Airport – Holyoke, Colorado
KHEY – Hanchey Army Heliport – Fort Rucker / Ozark, Alabama
KHEZ – Natchez-Adams County Airport – Natchez, Mississippi
KHFD – Hartford-Brainard Airport – Hartford, Connecticut
KHFF – Mackall Army Airfield – Camp Mackall, North Carolina
KHGR – Hagerstown Regional Airport – Hagerstown, Maryland
KHHF – Hemphill County Airport – Canadian, Texas
KHHR – Hawthorne Municipal Airport – Hawthorne, California
KHHW – Stan Stamper Municipal Airport – Hugo, Oklahoma
KHIE – Mount Washington Regional Airport – Whitefield, New Hampshire
KHIF – Hill Air Force Base – Ogden, Utah
KHII – Lake Havasu City Airport – Lake Havasu City, Arizona
KHIO – Hillsboro Airport – Portland, Oregon
KHJH – Hebron Municipal Airport – Hebron, Nebraska
KHJO – Hanford Municipal Airport – Hanford, California
KHKA – Blytheville Municipal Airport – Blytheville, Arkansas
KHKS – Hawkins Field – Jackson, Mississippi
KHKY – Hickory Regional Airport – Hickory, North Carolina
KHLC – Hill City Municipal Airport – Hill City, Kansas
KHLG – Wheeling-Ohio County Airport – Wheeling, West Virginia
KHLN – Helena Regional Airport – Helena, Montana
KHLR – Hood Army Airfield – Fort Hood / Killeen, Texas
KHLX – Twin County Airport – Galax-Hillsville, Virginia
KHMN – Holloman Air Force Base – Alamogordo, New Mexico
KHMS – Richland Airport – Richland, Washington
KHMT – Hemet-Ryan Airport – Hemet, California
KHMZ – Bedford County Airport – Bedford, Pennsylvania
KHND – Henderson Executive Airport – Henderson, Nevada
KHNZ – Oxford-Henderson Airport – Oxford, North Carolina
KHOB – Lea County Regional Airport – Hobbs, New Mexico
KHOE – Homerville Airport – Homerville, Georgia
KHON – Huron Regional Airport – Huron, South Dakota
KHOP – Campbell Army Airfield – Fort Campbell, Kentucky
KHOT – Memorial Field Airport – Hot Springs, Arkansas
KHOU – William P. Hobby Airport – Houston, Texas
KHPN – Westchester County Airport – White Plains, New York
KHQG – Hugoton Municipal Airport – Hugoton, Kansas
KHQM – Bowerman Airport – Hoquiam, Washington
KHQU – Thomson-McDuffie County Airport – Thomson, Georgia
KHQZ – Mesquite Metro Airport – Mesquite, Texas
KHRI – Hermiston Municipal Airport – Hermiston, Oregon
KHRJ – Harnett County Airport – Erwin, North Carolina
KHRL – Valley International Airport – Harlingen, Texas
KHRO – Boone County Airport – Harrison, Arkansas
KHRU – Herington Regional Airport – Herington, Kansas
KHRX – Hereford Municipal Airport – Hereford, Texas
KHSA – Stennis International Airport – Bay St. Louis, Mississippi
KHSE – Billy Mitchell Airport – Hatteras, North Carolina
KHSI – Hastings Municipal Airport – Hastings, Nebraska
KHSP – Ingalls Field – Hot Springs, Virginia
KHSR – Hot Springs Municipal Airport – Hot Springs, South Dakota
KHST – Homestead Joint Air Reserve Base – Homestead, Florida
KHSV – Huntsville International Airport (Carl T. Jones Field) – Huntsville, Alabama
KHTH – Hawthorne Industrial Airport – Hawthorne, Nevada
KHTO – East Hampton Airport – East Hampton, New York
KHTS – Tri-State Airport – Huntington, West Virginia
KHUA – Redstone Army Airfield – Redstone Arsenal / Huntsville, Alabama
KHUF – Terre Haute International Airport – Terre Haute, Indiana
KHUL – Houlton International Airport – Houlton, Maine
KHUM – Houma-Terrebonne Airport – Houma, Louisiana
KHUT – Hutchinson Municipal Airport – Hutchinson, Kansas
KHVC – Hopkinsville-Christian County Airport – Hopkinsville, Kentucky
KHVE – Hanksville Airport – Hanksville, Utah
KHVN – Tweed-New Haven Airport – New Haven, Connecticut
KHVR – Havre City County Airport – Havre, Montana
KHVS – Hartsville Regional Airport – Hartsville, South Carolina
KHWD – Hayward Executive Airport – Hayward, California
KHWO – North Perry Airport – Hollywood, Florida
KHWQ – Wheatland County Airport – Harlowton, Montana
KHWV – Brookhaven Airport – Shirley, New York
KHWY – Warrenton-Fauquier Airport – Warrenton, Virginia
KHXD – Hilton Head Airport – Hilton Head Island, South Carolina
KHXF – Hartford Municipal Airport – Hartford, Wisconsin
KHYA – Barnstable Municipal Airport – Hyannis, Massachusetts
KHYI – San Marcos Municipal Airport – San Marcos, Texas
KHYR – Sawyer County Airport – Hayward, Wisconsin
KHYS – Hays Regional Airport – Hays, Kansas
KHYW – Conway-Horry County Airport – Conway, South Carolina
KHYX – Saginaw County H.W. Browne Airport – Saginaw, Michigan
KHZE – Mercer County Regional Airport – Hazen, North Dakota
KHZL – Hazleton Municipal Airport – Hazleton, Pennsylvania
KIAB – McConnell Air Force Base – Wichita, Kansas
KIAD – Washington Dulles International Airport – Washington, DC
KIAG – Niagara Falls International Airport – Niagara Falls, New York
KIAH – George Bush Intercontinental Airport – Houston, Texas
